"id","hadith_id","source","tradition","volume","chapter_no","hadith_no","chapter","category","chain_indx","text_ar","text_en","sanad","matn_en","grade_tradition","grade_source","grade_value","gradings_full","url","page_ref"
"rabi_0010","10","al-Jami al-Sahih (Musnad al-Rabi ibn Habib)","Ibadi","1","3","10","في ذكر القرآن","في ذكر القرآن","","أبو عبيدة عن جابر بن زيد قال: بلغني أن عمر بن الخطاب رضي الله عنه خرج مع رسول الله صلى الله عليه وسلم في بعض أسفاره، فسأله عمر بن الخطاب رضي الله عنه عن شيء فلم يجبه رسول الله صلى الله عليه وسلم، ثم سأله ثلاثا فلم يجبه؛ فقال عمر عند نفسه: ثكلتك أمك يا عمر! نزرت رسول الله صلى الله عليه وسلم ثلاثا وكل ذلك لا يحبيبك. قال عمر: فحركت بعيري حتى تقدمت أمام الناس فخشيت أن ينزل في قرآن، فما مشيت إذ سمعت صارخا يصرخ، فهرولت حتى جئت رسول الله صلى الله عليه وسلم، فسلمت عليه فقال: «لقد أنزلت علي سورة هي أحب إلي مما طلعت عليه الشمس»، ثم قرأ: {إنا فتحنا لك فتحا مبينا}.","","","","Ibadi","","","","","V01P008"
"rabi_0011","11","al-Jami al-Sahih (Musnad al-Rabi ibn Habib)","Ibadi","1","3","11","في ذكر القرآن","في ذكر القرآن","","أبو عبيدة عن جابر بن زيد قال: قال رسول الله صلى الله عليه وسلم في الجنب والحائض والذين لم يكونوا على طهارة: «لا يقرؤون القرآن، ولا يطؤون مصحفا بأيديهم حتى يكونوا متوضئين».","","","","Ibadi","","","","","V01P008"
"rabi_0012","12","al-Jami al-Sahih (Musnad al-Rabi ibn Habib)","Ibadi","1","3","12","في ذكر القرآن","في ذكر القرآن","","أبو عبيدة عن جابر بن زيد عن أبي سعيد الخدري قال: نهى رسول الله صلى الله عليه وسلم أن يسافر بالقرآن إلى أرض العدو لئلا يذهبوا به فينالوه.","","","","Ibadi","","","","","V01P008"
"rabi_0013","13","al-Jami al-Sahih (Musnad al-Rabi ibn Habib)","Ibadi","1","3","13","في ذكر القرآن","في ذكر القرآن","","أبو عبيدة عن جابر بن زيد عن ابن عباس عن النبيء صلى الله عليه وسلم أنه كان قاعدا ذات يوم مع أصحابه إذ ذكر حديثا فقال: «ذلك أوان ينسخ القرآن» فقال رجل كالأعرابي: يارسول الله، ما النسخ؟ وكيف ينسخ؟ قال: «يذهب بأهله ويبقى رجال كأنهم البغاث». قال الربيع: البغاث: أرذلة الطير .","","","","Ibadi","","","","","V01P009"
"rabi_0014","14","al-Jami al-Sahih (Musnad al-Rabi ibn Habib)","Ibadi","1","3","14","في ذكر القرآن","في ذكر القرآن","","أبو عبيدة قال: بلغني أن عمر بن الخطاب رضي الله عنه سمع هشام بن حكيم يقرأ سورة الفرقان على غير قراءته هو، قال عمر: وكان رسول الله صلى الله عليه وسلم أقرأنيها، فلببته بردائي فجئت به رسول الله صلى الله عليه وسلم، فقلت: يا رسول الله، إني سمعت هذا يقرأ سورة الفرقان على غير ما أقرأتنيها، فقال رسول الله صلى الله عليه وسلم للرجل: «اقرأ» فقرأ، فقال رسول الله صلى الله عليه وسلم: «هكذا أنزلت»، قال عمر: فقال لي: «اقرأ» فقرأت، فقال لي: «هكذا أنزلت، إن هذا القرآن نزل على سبعة أحرف كلها شاف كاف، فاقرأوا ما تيسر منه». عليه وسلم: «نزل القرآن على سبعة أحرف» قال بعضهم: على سبع لغات، وقال بعضهم: على سبعة أوجه: وعد، ووعيد، وحلال، وحرام، ومواعظ، وأمثال، واحتجاج. وقال بعضهم: حلال، وحرام، وأمر، ونهي، وخبر ما كان قبل، وخبر ما هو كائن، وأمثال. وقد قيل: لا يوجد حرف واحد من القرآن يقرأ على سبعة أوجه. والله أعلم بحقيقة التفسير.","","","","Ibadi","","","","","V01P009"
"rabi_0015","15","al-Jami al-Sahih (Musnad al-Rabi ibn Habib)","Ibadi","1","3","15","في ذكر القرآن","في ذكر القرآن","","أبو عبيدة قال: بلغني أن رسول الله صلى الله عليه وسلم كان إذا أنزلت عليه آية قال: «اجعلوها في سورة كذا ». وما توفي رسول الله إلا والقرآن مجموع متلو.","","","","Ibadi","","","","","V01P010"
"rabi_0016","16","al-Jami al-Sahih (Musnad al-Rabi ibn Habib)","Ibadi","1","3","16","في ذكر القرآن","في ذكر القرآن","","قال الربيع بن حبيب عن عبد الأعلى بن داود عن عكرمة عن ابن عباس عن رسول الله صلى الله عليه وسلم قال: «أنزل القرآن كله جملة واحدة في ليلة القدر إلى السماء الدنيا، وكان الله إذا أراد أن يحدث في الأرض شيئا أنزل منه، حتى جمعه». قال: وكان رسول الله صلى الله عليه وسلم يقضي بالقضية فينزل القرآن بخلاف قضائه، فلا يرد قضاءه، ويستقبل حكم القرآن.","","","","Ibadi","","","","","V01P010"
"rabi_0017","17","al-Jami al-Sahih (Musnad al-Rabi ibn Habib)","Ibadi","1","3","17","في ذكر القرآن","في ذكر القرآن","","قال الربيع عن يحيى بن كثير عن شعيب عن قتادة عن عكرمة عن ابن عباس قال: «البقرة وآل عمران والنساء والمائدة والتوبة مدنيات، والرعد مدنية إلا آية واحدة وهي: {ولو ان قرءانا سيرت به الجبال أو قطعت به الارض ... }، والنحل ما فوق الأربعين من أولها إلى آخرها مدني، والحج مدني إلا أربع آيات وهي: {ومآ أرسلنا من قبلك من رسول ... } إلى قوله: { ... عذاب يوم عقيم} مكية، والنور كلها مدنية، والأحزاب كلها مدنية، والقتال والفتح والحجرات مدنيات، ومن الحديد عشر سور متواليات إلى: {يآ أيها النبيء لم تحرم مآ أحل الله لك ... } فهذا كله مدني، و {لم يكن الذين كفروا ... } مدنية، و {إذا جآء نصر الله والفتح ... } مدنية، والمعوذتان مدنيتان. فهذه سبع وعشرون سورة مدنيات، وسائر القرآن مكي».","","","","Ibadi","","","","","V01P011"
"rabi_0018","18","al-Jami al-Sahih (Musnad al-Rabi ibn Habib)","Ibadi","1","4","18","في العلم وطلبه وفضله","في العلم وطلبه وفضله","","قال الربيع بن حبيب: أبو عبيدة عن جابر بن زيد عن أنس بن مالك عن النبيء صلى الله عليه وسلم قال: «اطلبوا العلم ولو بالصين»","","","","Ibadi","","","","","V01P011"
"rabi_0019","19","al-Jami al-Sahih (Musnad al-Rabi ibn Habib)","Ibadi","1","4","19","في العلم وطلبه وفضله","في العلم وطلبه وفضله","","ومن طريقه عن النبيء صلى الله عليه وسلم قال: «إن الملائكة لتضع أجنحتها لطالب العلم رضى لما يطلبه».","","","","Ibadi","","","","","V01P011"
"rabi_0020","20","al-Jami al-Sahih (Musnad al-Rabi ibn Habib)","Ibadi","1","4","20","في العلم وطلبه وفضله","في العلم وطلبه وفضله","","أبو عبيدة عن جابر بن زيد عن أبي هريرة قال: قال رسول الله صلى الله عليه وسلم: «من سلك طريقا يطلب فيه علما سهل الله له طريقا إلى الجنة».","","","","Ibadi","","","","","V01P011"
"rabi_0021","21","al-Jami al-Sahih (Musnad al-Rabi ibn Habib)","Ibadi","1","4","21","في العلم وطلبه وفضله","في العلم وطلبه وفضله","","أبو عبيدة عن جابر بن زيد عن أبي هريرة قال: قال رسول الله صلى الله عليه وسلم: «من تعلم العلم لله عز وجل وعمل به حشره الله يوم القيامة آمنا، ويرزق الورود على الحوض». هكذا سمعت من رسول الله صلى الله عليه وسلم.","","","","Ibadi","","","","","V01P011"
"rabi_0022","22","al-Jami al-Sahih (Musnad al-Rabi ibn Habib)","Ibadi","1","4","22","في العلم وطلبه وفضله","في العلم وطلبه وفضله","","أبو عبيدة عن جابر بن زيد قال: قال رسول الله صلى الله عليه وسلم: «تعلموا العلم، فإن تعلمه قربة إلى الله عز وجل، وتعليمه لمن لا يعلمه صدقة، وإن العلم لينزل بصاحبه في موضع الشرف والرفعة، والعلم زين لأهله في الدنيا والآخرة».","","","","Ibadi","","","","","V01P011"
"rabi_0023","23","al-Jami al-Sahih (Musnad al-Rabi ibn Habib)","Ibadi","1","4","23","في العلم وطلبه وفضله","في العلم وطلبه وفضله","","أبو عبيدة عن الله عليه وسلم قال: «تعليم الصغار يطفئ غضب الرب».","","","","Ibadi","","","","","V01P012"
"rabi_0024","24","al-Jami al-Sahih (Musnad al-Rabi ibn Habib)","Ibadi","1","4","24","في العلم وطلبه وفضله","في العلم وطلبه وفضله","","أبو عبيدة عن جابر بن زيد عن أبي هريرة قال: قال رسول الله صلى الله عليه وسلم: «تعلموا العلم قبل أن يرفع، ورفعه: ذهاب أهله».","","","","Ibadi","","","","","V01P012"
"rabi_0025","25","al-Jami al-Sahih (Musnad al-Rabi ibn Habib)","Ibadi","1","4","25","في العلم وطلبه وفضله","في العلم وطلبه وفضله","","أبو عبيدة عن جابر بن زيد عن أنس بن مالك عن النبيء صلى الله عليه وسلم قال: «من أراد الله به خيرا فقهه في الدين».","","","","Ibadi","","","","","V01P012"
"rabi_0026","26","al-Jami al-Sahih (Musnad al-Rabi ibn Habib)","Ibadi","1","4","26","في العلم وطلبه وفضله","في العلم وطلبه وفضله","","أبو عبيدة عن جابر بن زيد قال: بلغني عن معاوية بن أبي سفيان، قال وهو على المنبر: «أيها الناس، إنه لا مانع لما أعطى الله، ولا معط لما منع الله، ولا ينفع ذا الجد منه الجد. من يرد الله به خيرا يفقهه في الدين» ثم قال: سمعت هذه الكلمات على هذه الأعواد، يعني المنبر.","","","","Ibadi","","","","","V01P012"
"rabi_0027","27","al-Jami al-Sahih (Musnad al-Rabi ibn Habib)","Ibadi","1","4","27","في العلم وطلبه وفضله","في العلم وطلبه وفضله","","أبو عبيدة عن جابر بن زيد قال: بلغني عن رسول الله صلى الله عليه وسلم قال: «رسم المداد في ثوب أحدكم إذا كان يكتب علما كالدم في سبيل الله، ولا يزال ينال به الأجر ما دام ذلك المداد في ثوبه».","","","","Ibadi","","","","","V01P012"
"rabi_0028","28","al-Jami al-Sahih (Musnad al-Rabi ibn Habib)","Ibadi","1","4","28","في العلم وطلبه وفضله","في العلم وطلبه وفضله","","أبو عبيدة عن جابر بن زيد عن ابن عباس قال: خرج رسول الله صلى الله عليه وسلم ذات يوم إلى المسجد فوجد أصحابه عزين ذاكرين فنون العلم، فأول حلقة وقف عليها وجدهم يقرؤون القرآن فجلس إليهم فقال: «بهذا أرسلني ربي». ثم قام إلى الثانية فوجدهم يتكلمون في الحلال والحرام، فجلس إليهم ولم يقل شيئا، ثم قام إلى الثالثة فوجدهم يذكرون توحيد الله عز وجل ونفي الأشباه والأمثال عنه، فجلس إليهم كثيرا، ثم قال: «بهذا أمرني ربي». قال جابر: لأن التوحيد معرفة الله عز وجل ومن لا يعرف توحيد الله فليس بمؤمن.","","","","Ibadi","","","","","V01P013"
"rabi_0029","29","al-Jami al-Sahih (Musnad al-Rabi ibn Habib)","Ibadi","1","4","29","في العلم وطلبه وفضله","في العلم وطلبه وفضله","","أبو عبيدة عن جابر بن زيد قال: أدركت ناسا من الصحابة أكثر فتياهم حديث النبيء صلى الله عليه وسلم يقولون : قال النبيء صلى الله عليه وسلم: «لا يبولن أحدكم في الماء الدائم ثم يغتسل منه أو يتوضأ».","","","","Ibadi","","","","","V01P013"
"rabi_0030","30","al-Jami al-Sahih (Musnad al-Rabi ibn Habib)","Ibadi","1","4","30","في العلم وطلبه وفضله","في العلم وطلبه وفضله","","أبو عبيدة قال بلغني عن رسول الله صلى الله عليه وسلم أنه قال: «خلفت فيكم ما إن تمسكتم به لن تضلوا أبدا كتاب الله عز وجل فما لم تجدوه في كتاب الله ففي سنتي، فما لم تجدوه في سنتي، فإلى أولي الأمر منكم».","","","","Ibadi","","","","","V01P013"
"rabi_0031","31","al-Jami al-Sahih (Musnad al-Rabi ibn Habib)","Ibadi","1","4","31","في العلم وطلبه وفضله","في العلم وطلبه وفضله","","أبو عبيدة عن جابر بن زيد قال: بلغني عن رسول الله صلى الله عليه وسلم أنه بينما هو جالس في المسجد إذ أقبل ثلاثة نفر، فقصد اثنان إلى رسول الله صلى الله عليه وسلم، وذهب واحد في حاجته؛ فلما وقفا على رسول الله صلى الله عليه وسلم سلما، فقصد أحدهما إلى فرجة في الحلقة فقعد فيها، وجلس الآخر في الحلقة؛ فقال رسول الله صلى الله عليه وسلم: «ألا أخبركم بأمر النفر الثلاثة»، فقالوا: بلى يا رسول الله، قال: «أما أحدهم فآوى إلى الله فآواه الله إليه، وأما الثاني فاستحيى من الله فاستحيى الله منه، وأما الثالث فأعرض فأعرض الله عنه».","","","","Ibadi","","","","","V01P014"
"rabi_0032","32","al-Jami al-Sahih (Musnad al-Rabi ibn Habib)","Ibadi","1","5","32","في طلب العلم لغير الله عز وجل وعلماء السوء","في طلب العلم لغير الله عز وجل وعلماء السوء","","أبو عبيدة عن جابر بن زيد عن أنس بن مالك عن النبيء صلى الله عليه وسلم قال: «ويل لمن لم يعلم مرة وويل لمن يعلم ولم يعمل مرتين».","","","","Ibadi","","","","","V01P014"
"rabi_0033","33","al-Jami al-Sahih (Musnad al-Rabi ibn Habib)","Ibadi","1","5","33","في طلب العلم لغير الله عز وجل وعلماء السوء","في طلب العلم لغير الله عز وجل وعلماء السوء","","أبو عبيدة عن جابر بن زيد عن أنس بن مالك عن النبيء صلى الله عليه وسلم قال: «من تعلم العلم ليباهي به العلماء، أو ليماري به السفهاء، لقي الله يوم القيامة وهو خائب من الحسنات».","","","","Ibadi","","","","","V01P014"
"rabi_0034","34","al-Jami al-Sahih (Musnad al-Rabi ibn Habib)","Ibadi","1","5","34","في طلب العلم لغير الله عز وجل وعلماء السوء","في طلب العلم لغير الله عز وجل وعلماء السوء","","أبو عبيدة عن جابر بن زيد قال: بلغني عن رسول الله صلى الله عليه وسلم قال: «من تعلم العلم للعظمة والرفعة أوقفه الله تعالى موقف الذل والصغار يوم القيامة، وجعله الله عليه حسرة وندامة حتى يكون العلم لأهله زينا»","","","","Ibadi","","","","","V01P014"
"rabi_0035","35","al-Jami al-Sahih (Musnad al-Rabi ibn Habib)","Ibadi","1","5","35","في طلب العلم لغير الله عز وجل وعلماء السوء","في طلب العلم لغير الله عز وجل وعلماء السوء","","أبو عبيدة عن جابر بن زيد قال: قال رسول الله صلى الله عليه وسلم: «من أفتى مسألة أو فسر رؤيا بغير علم كمن وقع من السماء إلى الأرض فصادف بئرا لا قعر له ولو أنه أصاب الحق».","","","","Ibadi","","","","","V01P014"
